"","X12_13_02_U133A_Mer_Latin_Square_Expt6_R1","X12_13_02_U133A_Mer_Latin_Square_Expt6_R2","X12_13_02_U133A_Mer_Latin_Square_Expt6_R3","X12_13_02_U133A_Mer_Latin_Square_Expt7_R1","X12_13_02_U133A_Mer_Latin_Square_Expt7_R2","X12_13_02_U133A_Mer_Latin_Square_Expt7_R3"
"1007_s_at",950.827279095004,1146.52469603162,890.396236703931,929.223031575611,986.090438073499,1009.83878775338
"1053_at",1066.46767732512,1254.76065253407,792.936164275574,721.107243268573,852.711137325493,1040.57032096839
"117_at",105.790646423103,155.245099203599,111.395584573849,186.084950045484,82.2116921846765,94.3103835166806
"121_at",1400.54243935789,1408.93587872383,1245.49198672507,1126.09255104874,1186.8083473074,1127.96755465409
"1255_g_at",44.4111299478768,44.5857159094175,46.0066837812403,43.1757638528211,33.9487960776979,46.599209531495
"1294_at",210.697391332069,192.598968631153,178.023002249774,207.36659993724,272.088286451529,238.865945007991
"1316_at",121.701225283311,131.436777952603,104.163073370259,139.469934203357,125.615103938341,138.676257227772
"1320_at",21.0322104350829,147.719536431098,17.9160044987487,62.4105929681106,136.66134832866,57.455680717841
"1405_i_at",20.5533751432241,11.2922493560107,27.6058878017047,33.4491535461979,8.01812854457245,5.51399652084121
"1431_at",22.3121589350674,46.1257874715906,11.4204085679388,42.7015689549429,16.5060839838059,55.569841050373
"1438_at",98.5310955874185,142.321184475057,28.5778840223149,30.5733245752004,26.6679091121335,130.912350618721
"1487_at",684.525348434976,689.441186864668,531.387749772029,552.535189328405,507.598757846345,630.72443144129
"1494_f_at",310.729681599483,485.602890732914,252.52094425894,257.850271544253,335.304504241398,459.17359198705
"1598_g_at",903.39975974842,941.137412037598,869.117718336228,969.526820096959,1079.86618188238,967.659648326253
"160020_at",424.898263988341,436.403309127367,342.932399449852,359.371768314186,453.310854238652,363.688029226057
"1729_at",401.641450159097,327.405335635198,311.836173732556,361.120763338045,409.517369892917,293.7789612039
"1773_at",124.848523144704,176.548910789914,166.334457488406,101.279087923826,148.512755084139,159.377476779709
"177_at",144.557331717254,193.699953000172,98.8684688966219,168.12125298493,142.483711122286,210.886799913604
"179_at",1238.60330611586,1118.54453712874,1084.9700394779,1082.62287125128,1356.95114332728,1163.59264608075
"1861_at",373.397448441624,407.92982000637,340.152322305323,368.686062002233,386.134983581922,434.498264556228
"200000_s_at",1974.4289525337,1834.12038622063,1949.48187136528,1923.55062395082,1874.89909339786,1816.72347412854
"200001_at",3914.63372520607,4000.66400507449,4278.5243242998,3937.38921733781,4082.06664478461,3922.09902520672
"200002_at",17590.030268094,18176.3514299337,16837.9558678874,16633.2538464474,18482.4903906218,16240.9365100337
"200003_s_at",13170.2247011204,12784.6720115071,12644.5575263125,12349.7184493696,12584.3064524265,11989.8694179531
"200004_at",10108.2002934035,9325.4672262708,9390.25104968628,9654.93466037214,9308.44677655533,9243.75378410981
"200005_at",2432.86944885351,2330.36099454906,2781.22456386072,2388.45526575721,2636.49882011835,2380.48952154509
"200006_at",10031.8915893683,9824.55229778734,10170.1220908544,9806.90182507443,10178.094559069,9669.14705566662
"200007_at",9938.17451204224,10599.3333773174,10358.3733488589,10434.5748201778,11239.9351474193,10257.0074594452
"200008_s_at",3503.97671789336,3388.27426176489,3397.50347593375,3524.6167136259,3470.44270671025,3401.43380755135
"200009_at",6315.65688003601,6887.85784397702,6494.20660893117,5904.63557842007,6448.93610667363,6745.22553301589
"200010_at",11315.7702836595,10370.6010337854,11184.1145707319,10460.4893206817,10598.4168195057,10290.0918072405
"200011_s_at",1505.08623079522,1607.3134649875,1782.13769071145,1776.21741178324,1581.5135614186,1474.22047654498
"200012_x_at",12360.0740540973,13695.5053619338,12394.7232335661,12466.3515902086,14941.0396721625,12052.5708076224
"200013_at",17811.1805747704,18767.8257525378,19181.7118071506,18359.251691793,20578.8676807837,18323.3455572646
"200014_s_at",4185.76361345096,3848.40915928461,3979.03093819558,4085.27026254247,3939.09463356986,3739.51107879218
"200015_s_at",4475.40435804441,3903.1764190083,4179.04676133702,4569.48772045201,4388.76013015508,3532.44837461983
"200016_x_at",12821.7681807746,11135.4179759882,11996.8148014747,11591.0790236031,11980.4865503917,12428.6364300307
"200017_at",12064.8171961918,12466.5417795355,12016.1765190385,13532.3603558007,13360.487420944,11848.1577656284
"200018_at",14062.1583703257,15010.1917754219,14080.2084784761,14328.3319096576,15796.2397361208,14024.9255892377
"200019_s_at",11534.4324442838,11844.9265117517,10875.6506124206,10702.0919448751,10598.1577861578,11608.5320338698
"200020_at",2534.33830944075,2624.06865192015,2533.77589526704,2387.51763939946,2657.01238382662,2402.3870934603
"200021_at",19542.8273775286,20874.8965873238,18297.9158121592,18364.6299315249,19753.9426325408,19550.2803387545
"200022_at",15653.7794522864,16108.6857836505,13408.6740485543,14271.6074093254,14428.9724111699,14359.0318777179
"200023_s_at",6704.6056623652,6659.59558768594,6903.27396988463,6433.13858065391,6445.44750683278,6817.5348207503
"200024_at",12537.5011668418,12394.8724209042,13237.317521341,12142.2426288716,13827.3748230526,12222.2330872161
"200025_s_at",13034.1710189194,13150.8640755002,12168.9988975688,13768.9300787707,13685.86580163,13362.2818686481
"200026_at",8578.70726027657,8972.0816802234,9721.76633025641,8944.93307850848,9163.76176539423,9044.25288266908
"200027_at",3893.71527961968,4109.66916676572,3730.96061470555,3845.26132958883,3863.15168680929,4049.71210827407
"200028_s_at",2458.56910156583,2228.53997041925,2126.52633852005,1978.57497713796,2071.87307944988,1898.13283073332
"200029_at",10016.0172064543,10081.0259988839,10651.7298562718,11148.8233728965,10395.1549248399,9156.67762049147
"200030_s_at",9884.58653282424,10488.8389420473,9587.82368652751,9676.16844386965,10730.4883501158,9623.47744423544
"200031_s_at",18931.4703471527,20691.1021542544,17145.5370634455,18465.3309715873,18764.3980714089,19768.3778360105
"200032_s_at",20548.4808432488,20101.1291655778,20564.1566697986,18474.2471432661,20896.9394758481,19069.4453586184
"200033_at",5458.18644516226,5697.13931912067,5466.42396262354,6169.44163846105,6040.93491622298,5495.49770328301
"200034_s_at",11357.3007021757,13057.7605848908,11251.8965969965,12877.6865071353,12614.5796851582,12952.1666573529
"200035_at",573.935289357236,330.098208176542,686.054697351379,489.798129830075,627.494373696415,499.023299551367
"200036_s_at",8014.56411560913,8023.45810745728,7447.09076057462,7519.00923566959,7316.17561793785,7772.58512684682
"200037_s_at",6786.83271498643,6499.81677237059,6702.40152649271,7150.07000092743,7162.00030597159,7061.78807155542
"200038_s_at",13639.8584930019,14638.5143200508,13136.8475751547,13253.8916104254,14492.7117135937,13825.3562663227
"200039_s_at",5853.90769975782,5844.80383785229,5946.63470378122,5584.37219816877,5891.83001682436,5630.72468401093
"200040_at",3400.28136398365,3039.44601020342,3499.27452412292,3448.31223183184,3489.03429128726,3198.78202904038
"200041_s_at",6565.11236278627,6342.30704754545,6371.40981464167,6245.20358738513,6103.53086806156,5925.95606213526
"200042_at",1527.70043974743,1600.11311926159,1477.04494533247,1438.66160881726,1494.04662602687,1501.75696375014
"200043_at",7440.34514716504,7582.31360723574,7628.8073817986,8190.71580048901,8398.36733392913,7648.92363246189
"200044_at",4045.84129074042,4308.54887850406,3957.07371343087,3914.40414410519,3990.7301440568,4452.08706916057
"200045_at",2016.25841311746,2097.98101146651,2048.45455010852,1822.19742733226,1733.91572107313,1878.49629056369
"200046_at",2746.92084676066,2620.34657222702,3059.30545584492,2948.37963990413,3035.03678267236,2859.64047312949
"200047_s_at",2884.27015022964,3116.17127788407,2611.07022853278,3092.75426671813,2975.91761359132,3112.95004286707
"200048_s_at",5578.83687320291,5558.80311723046,5229.87163723928,5514.49561406159,5524.35956559068,5826.32964412171
"200049_at",588.766493018475,614.652928774862,413.956556015708,424.348638882143,477.144490061944,436.70856730379
"200050_at",1222.05040678419,1070.08286525942,1238.95205090986,1281.66786805372,1175.91541497177,1215.59530858404
"200051_at",559.821125129486,547.303496805469,479.213022519974,647.418547645688,579.359687547499,412.451211888037
"200052_s_at",4412.22739032191,3850.22140405739,4155.02556905635,3972.88009929958,3595.34782173025,4462.49749719123
"200053_at",952.695395875522,999.944942062653,931.368294969336,996.77132401125,930.146410188788,995.728256441235
"200054_at",425.526712201835,355.686154538377,397.0560322299,410.731581095486,403.969214732205,419.046345577105
"200055_at",3220.53216029977,3414.24748646832,3204.5908927882,3106.58987296028,3495.35056758922,3172.74699251194
"200056_s_at",522.319274952492,480.912744131224,545.790699721741,581.253753276789,509.169265037502,514.399337112739
"200057_s_at",9638.65601848914,9281.64042180843,9482.2542131152,9342.99341280302,9680.91689107324,9694.0794390695
"200058_s_at",3076.6914105547,2956.7876915336,2733.01216476776,3043.83259429807,2897.84640369465,2867.94122659209
"200059_s_at",10546.4895007404,10173.9295905976,12348.5904833648,11616.4139532565,12526.6265517635,12157.2969833086
